SUBURB,Jul - Sep 19,Oct - Dec 19,Jan - Mar 20,Apr- Jun 20,Jul - Sep 20,No of sales Jul - Sep 20,No of Sales YTD,Change % previous year,Change % previous quarter
MERINDA PARK,473500,508000,545000,482000,518800,4,23,9.6,7.6
ALPHINGTON,1700000,1717500,1435500,1930000,1865000,5,19,9.7,-3.4
PASCOE VALE,847000,872500,930000,940000,930000,19,80,9.8,-1.1
HARCOURT,300000,417500,490000,490000,570000,5,10,90.0,NA
NHILL,96500,109500,107500,206800,189000,14,38,95.9,-8.6
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
