Median House Prices 3rd Quarter 2020,,,,,,,,Change %,Change %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBURB,Jul - Sep 19,Oct - Dec 19,Jan - Mar 20,Apr- Jun 20,Jul - Sep 20,No of sales ,No of Sales ,Jul - Sep 19,Apr - Jun 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCAS,431000,465000,480000,440000,465000,25,64,7.9,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKNOW,282000,265000,435000,343000,241000,4,14,-14.5,-29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYNBROOK,580300,650000,615000,690000,640000,17,46,10.3,-7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYNDHURST,661500,707500,695000,700800,710000,17,62,7.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYSTERFIELD,897000,951400,1145300,945000,990000,11,32,10.4,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACEDON,790000,718000,880000,885000,1025000,4,14,29.7,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACLEOD,1005000,920000,975000,950000,1016600,13,51,1.2,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADDINGLEY,470000,440000,518000,493500,522500,25,54,11.2,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFFRA,250000,274500,274300,303800,292500,32,74,17.0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIDEN GULLY,513800,505000,508800,570000,565000,12,35,10.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIDSTONE,745000,839000,775000,750000,720000,11,53,-3.4,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALDON,482500,532500,424500,410000,517300,22,32,7.2,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALLACOOTA,512500,305000,415000,355000,315000,6,17,-38.5,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALVERN,2825500,2725000,2520000,2300000,2500000,12,44,-11.5,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALVERN EAST,1828500,1787500,1700000,2090000,1615000,30,117,-11.7,-22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANIFOLD HEIGHTS,583500,752500,1134500,960000,892500,8,22,53.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANOR LAKES,535000,563500,555000,545000,560000,23,103,4.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANSFIELD,495000,440000,440000,460000,500000,27,58,1.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARIBYRNONG,1015000,1150000,1035000,1030000,900000,9,42,-11.3,-12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARONG,440000,375000,375000,465000,456000,10,20,3.6,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL,492500,480000,485000,499000,510000,15,34,3.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARYBOROUGH,228500,241000,260000,265000,265000,50,119,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCRAE,625000,815000,850000,960000,887500,12,50,42.0,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKENZIE HILL,567500,520000,537500,584000,560000,4,15,-1.3,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKINNON,1542500,1525000,1750000,1592500,1410000,5,22,-8.6,-11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOW HEIGHTS,479000,511000,482500,507500,484000,20,79,1.0,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELTON,397500,385000,390000,390000,375000,26,76,-5.7,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELTON SOUTH,380900,391000,400500,395000,415000,27,100,9.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELTON WEST,413000,420000,470000,456000,469000,17,84,13.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENTONE,980000,1145000,972500,1160000,1035000,7,48,5.6,-10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERBEIN,226000,210000,198300,168000,195000,14,36,-13.7,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERINDA PARK,473500,508000,545000,482000,518800,4,23,9.6,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERNDA,555000,560000,553000,560000,553800,54,190,-0.2,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METUNG,405000,390000,450000,455000,465000,27,43,14.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICKLEHAM,530000,545000,550000,547500,580000,23,168,9.4,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDDLE PARK,2700000,3100000,3032500,1993000,2597500,6,26,-3.8,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILDURA,315000,335100,315000,336000,335000,165,439,6.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL PARK,673000,684000,686000,700000,689000,28,131,2.4,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLGROVE,405000,425000,430000,430000,406300,4,29,0.3,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINERS REST,435000,420000,438000,420000,440000,27,55,1.1,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINYIP,64500,140000,95000,65300,67500,6,14,4.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRBOO NORTH,320000,322500,312500,325000,381500,8,24,19.2,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCHAM,925000,1040000,1092500,974500,902000,19,90,-2.5,-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCHELL PARK,327500,305000,325000,330000,310000,1,7,-5.3,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOE,190000,241300,235000,209000,278500,40,137,46.6,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOGGS CREEK,1500000,1500000,1010000,1350000,1350000,0,7,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONBULK,610000,663000,633500,620000,645000,15,41,5.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONT ALBERT,1960000,1655000,2050000,1478000,2560000,2,16,30.6,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONT ALBERT NORTH,1417000,1551000,1577500,1345000,1357900,7,23,-4.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTMORENCY,838500,870000,904300,922800,967600,16,50,15.4,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTROSE,723500,735000,720000,710000,757000,9,35,4.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOONEE PONDS,1255000,1351000,1300000,1242500,1182000,16,71,-5.8,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOORABBIN,1120000,1177500,1177500,1040000,1059000,11,47,-5.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOOROOLBARK,670800,735000,723000,687000,712500,48,175,6.2,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOOROOPNA,272300,231800,270000,223800,266800,34,96,-2.0,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORDIALLOC,1090000,1022500,1162500,997500,988000,5,37,-9.4,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGTON,816300,872500,895000,860000,835000,66,245,2.3,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORTLAKE,162500,165000,185500,180000,252500,10,25,55.4,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORWELL,170500,183000,180000,185000,213800,82,251,25.4,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT BEAUTY,300000,290000,293500,317500,309000,5,15,3.0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT CLEAR,447500,407500,422500,400000,403800,24,51,-9.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT DANDENONG,572500,820000,817000,692500,743500,4,13,29.9,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT DUNEED,563500,607000,570000,585000,585000,26,55,3.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT ELIZA,1150000,1213800,1280000,1200000,1210000,45,172,5.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT EVELYN,602000,666100,705000,720000,722500,20,76,20.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT HELEN,445000,509000,450000,440000,460000,12,44,3.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT MACEDON,940000,850000,1035800,1140000,865000,4,12,-8.0,-24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT MARTHA,1316500,1510000,1400000,1335000,1242500,12,77,-5.6,-6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT PLEASANT,318800,341500,415000,372500,390000,7,20,22.4,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT WAVERLEY,1303000,1329300,1313000,1305000,1254400,34,171,-3.7,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULGRAVE,881000,861000,850000,815000,826300,28,116,-6.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURCHISON,219500,253500,275000,308000,231800,2,10,5.6,-24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURRUMBEENA,1400800,1401300,1495000,1599000,1483000,6,27,5.9,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURTOA,119000,125000,140000,122500,148500,3,19,24.8,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLEFORD,296000,332500,351300,370000,400000,17,46,35.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAMBIE,365000,430000,457500,423800,490000,7,23,34.2,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARRE WARREN,591000,620000,602500,600000,600000,47,182,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARRE WARREN NORTH,1030000,1064500,1185000,1050000,1215000,5,18,18.0,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARRE WARREN SOUTH,620000,636800,647500,645000,672500,45,194,8.5,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATHALIA,181500,225000,240000,270000,242500,11,21,33.6,-10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEERIM SOUTH,375000,520000,577500,425000,511500,2,11,36.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NELSON,200000,305000,247500,260000,200000,1,6,0.0,-23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NERRINA,690000,440000,625000,411000,597500,10,23,-13.4,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW GISBORNE,735000,717500,682500,715000,716500,6,17,-2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWBOROUGH,257500,247000,272500,308000,303500,32,95,17.9,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWCOMB,455000,434000,468000,437500,470700,21,52,3.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWINGTON,485000,516300,605000,575000,908500,8,15,87.3,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWLANDS ARM,480000,430500,422800,720000,541300,6,14,12.8,-24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWPORT,1075000,1000000,1082500,999000,1125000,22,87,4.7,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWSTEAD,400000,462500,419000,419000,480000,5,8,20.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWTOWN (GREATER GEELONG),755000,906000,1002500,880000,905000,44,115,19.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHILL,96500,109500,107500,206800,189000,14,38,95.9,-8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICHOLS POINT,530000,465500,435000,450000,640000,1,4,20.8,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDDRIE,1147500,1050000,876300,897500,975300,10,42,-15.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOBLE PARK,633000,655000,649000,625000,650000,27,99,2.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOBLE PARK NORTH,597000,660000,676000,645000,637000,5,22,6.7,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORLANE,350000,350000,366500,363500,373500,27,75,6.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH BENDIGO,320000,315000,360000,400000,375000,19,52,17.2,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH GEELONG,490000,548000,682500,555000,525000,17,42,7.1,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH MELBOURNE,1301000,1510000,1120000,1061100,1150000,5,24,-11.6,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH WONTHAGGI,429000,357000,410000,366500,435000,15,41,1.4,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHCOTE,1340000,1465000,1400000,1420500,1348000,21,112,0.6,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUMURKAH,245000,230000,232000,235000,249000,18,46,1.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUNAWADING,941500,1044400,1170500,930000,951000,11,62,1.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAH WEST,88500,97000,120000,120000,129000,5,8,45.8,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAK PARK,947500,926000,1005800,875000,887500,10,39,-6.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAKLEIGH,1100000,1135000,1200000,1065000,1490000,5,31,35.5,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAKLEIGH EAST,1026100,959000,967000,995000,940500,5,16,-8.3,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAKLEIGH SOUTH,886000,1112500,1015000,970100,960000,16,57,8.4,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN GROVE,687500,752500,711300,744000,780000,123,270,13.5,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFICER,550000,554000,587500,590000,592500,46,179,7.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFICER SOUTH,767000,714000,864000,864000,864000,0,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLINDA,700000,815000,710000,590000,1150000,3,11,64.3,94.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMEO,305000,242500,238000,238000,230000,3,8,-24.6,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBOST,260000,180000,177500,217000,215000,15,38,-17.3,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORMOND,1460000,1755000,1490000,1595000,1700000,5,29,16.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBORNE,771500,830000,853000,850000,820800,18,63,6.4,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUYEN,112300,75000,143800,70500,100000,11,23,-10.9,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKENHAM,485500,503800,530000,493000,520000,171,596,7.1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARADISE BEACH,212000,235000,248000,183000,382500,2,10,80.4,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK ORCHARDS,1605000,1835000,1570000,1500000,1530000,3,8,-4.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKDALE,1152500,1285000,1201000,1168500,1077500,18,75,-6.5,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKVILLE,2012500,2300000,1690000,1625000,1725000,1,6,-14.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCOE VALE,847000,872500,930000,940000,930000,19,80,9.8,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCOE VALE SOUTH,966800,1130000,957500,989300,933000,6,22,-3.5,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATTERSON GARDENS,890000,946000,967500,905000,1040000,5,14,16.9,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATTERSON LAKES,823500,1037500,1300000,890000,1008000,8,32,22.4,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYNESVILLE,350000,370000,404000,318500,430800,32,79,23.1,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEARCEDALE,692000,700000,705000,580000,597500,4,24,-13.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETERBOROUGH,407300,825000,650000,650000,430000,4,9,5.6,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER BAY,347500,295000,312500,375000,390000,1,12,12.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLENTY,1400000,1301000,1120000,1245000,1361300,2,11,-2.8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT COOK,653300,650000,660000,655000,640000,75,292,-2.0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT LONSDALE,795000,845000,995000,812500,852500,22,50,7.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POREPUNKAH,515100,467000,467500,595500,590000,2,10,14.5,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT ALBERT,305000,219000,461000,327500,262500,6,11,-13.9,-19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT FAIRY,625000,650000,632500,615000,656500,14,46,5.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT MELBOURNE,1303000,1680000,1710000,1450000,1590000,21,76,22.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT WELSHPOOL,150000,300000,330000,283000,340000,4,13,126.7,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTARLINGTON,590000,625000,636300,722000,747000,15,54,26.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND,275000,282000,317500,267500,280000,69,172,1.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTSEA,2300000,1860000,2570000,2100000,1600000,11,34,-30.4,-23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAHRAN,1570000,1575000,1513500,1570500,1872500,22,84,19.3,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESTON,956000,1043500,1026000,987000,990800,26,135,3.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCES HILL,2218500,2212500,1332000,1743100,1300000,4,17,-41.4,-25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRAMID HILL,125000,130000,115000,115000,143000,2,6,14.4,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUARRY HILL,350000,390000,369000,377500,442500,8,27,26.4,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEENSCLIFF,825000,1105000,990000,905000,837500,12,30,1.5,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAINBOW,85000,67000,77500,60000,73500,4,13,-13.5,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYMOND ISLAND,300000,365000,650000,565000,431800,10,14,43.9,-23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED CLIFFS,206500,210200,210000,250000,270000,11,50,30.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED HILL,825000,825000,825000,860000,765000,1,6,NA,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDAN,348500,369000,357500,367500,400000,17,47,14.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESEARCH,930000,1025000,1400000,927500,1080000,5,14,16.1,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESERVOIR,762500,795000,827000,792500,767500,46,224,0.7,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHYLL,530000,875000,495000,571500,576800,4,13,8.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND,1243500,1335000,1249500,1341000,1260000,27,109,1.3,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIDDELLS CREEK,757500,662500,685000,650000,710000,7,17,-6.3,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RINGWOOD,845000,813500,937500,896500,845000,19,81,0.0,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RINGWOOD EAST,779000,885000,925000,860000,830000,13,45,6.5,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RINGWOOD NORTH,865000,928000,890500,938000,946100,15,61,9.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINVALE,241500,220000,196000,265000,275000,6,23,13.9,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCHESTER,260000,255000,235000,220000,255000,21,43,-1.9,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKBANK,575000,443000,480000,387500,423000,3,12,-26.4,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMSEY,597500,580300,627500,590000,613800,19,56,2.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSANNA,1105000,1126000,1105000,1200000,1125000,9,34,1.8,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSEBUD,542500,560000,582500,535000,590000,57,184,8.8,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSEBUD SOUTH,699000,730000,865000,650000,802500,11,45,14.8,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSEDALE,177500,215000,218000,260000,305000,9,25,71.8,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROWVILLE,837000,860000,805000,822500,850000,47,218,1.6,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROXBURGH PARK,545000,570000,579000,547500,570000,28,137,4.6,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUPANYUP,159000,85000,140000,140000,65000,1,6,-59.1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSHWORTH,162500,258000,185000,200000,235000,7,18,44.6,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUTHERGLEN,327000,275000,330000,350000,340000,12,23,4.0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYE,705000,685000,720000,716000,749000,63,207,6.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFETY BEACH,805000,800000,980000,924900,825000,20,79,2.5,-10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAILORS GULLY,282500,257000,211000,260000,346000,2,10,NA,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE,309000,329000,345000,275000,355000,91,190,14.9,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN REMO,601000,475000,596300,500000,564500,12,29,-6.1,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANCTUARY LAKES,620000,638000,620000,670000,660000,52,199,6.5,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDHURST,805000,887500,790000,810000,720000,15,53,-10.6,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDRINGHAM,1636300,1710000,1790000,1776000,1987500,16,60,21.5,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDY POINT,410000,445000,517500,517500,485000,11,21,18.3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASSAFRAS,767500,860500,768000,809000,2660000,1,4,246.6,228.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAWMILL SETTLEMENT,465000,404500,305000,318500,318500,0,7,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCORESBY,765900,863100,790000,760500,747500,6,31,-2.4,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA LAKE,135000,97500,121500,80500,108000,5,17,-20.0,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEABROOK,578800,673000,655000,647500,625000,9,40,8.0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAFORD,655500,685000,690000,677500,696000,26,137,6.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAHOLME,1020000,1100000,960000,895000,955000,3,14,-6.4,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEASPRAY,370000,345000,443000,330000,235000,8,10,-36.5,-28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEBASTOPOL,326000,320000,344500,327500,341800,42,116,4.8,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDDON,925000,960000,1100000,1100000,1062500,12,42,14.9,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELBY,731000,597500,705000,743500,585300,2,11,-19.9,-21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEVILLE,613300,717500,622800,595000,625100,5,16,1.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEVILLE EAST,509500,582000,598000,598000,547500,2,3,7.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEYMOUR,285000,312500,310000,340000,322500,21,69,13.2,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHEPPARTON,297500,274000,280000,310000,310000,136,362,4.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHEPPARTON NORTH,420000,534500,397000,527500,465000,5,11,10.7,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERLEAVES,660000,575000,620000,575000,733800,2,11,11.2,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKIPTON,146000,205000,212000,168000,265000,1,7,81.5,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKYE,610000,610000,608500,613500,590000,10,63,-3.3,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITHS BEACH,730000,595000,560000,742000,640000,5,14,-12.3,-13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMYTHESDALE,410000,290000,420000,425000,525000,7,13,28.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLDIERS HILL,462300,479000,554000,545000,515000,15,50,11.4,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMERS,990000,1050000,880000,945000,1160000,7,31,17.2,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMERVILLE,612500,600000,606000,637000,610000,32,98,-0.4,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORRENTO,1485000,1440000,1500000,1586700,1435000,18,74,-3.4,-9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
